time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446650000	17.8597	5.91481	4.8761	0.864959	0.380381	radar	1.41165	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0307	6.11465	4.90316	0.884323	0.380542	lidar	0.636001	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.1819	6.31694	4.90821	0.90771	0.38523	radar	0.808804	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.3042	6.5575	4.93412	0.946365	0.403762	lidar	1.13757	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4382	6.76524	4.91925	0.972233	0.411057	radar	0.425376	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.58	6.916	4.86314	0.976838	0.396085	lidar	1.5065	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7281	7.12188	4.8971	0.991307	0.388536	radar	0.525624	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9162	7.27481	4.87912	0.982108	0.361241	lidar	3.46479	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0084	7.47359	4.79848	1.01539	0.381202	radar	4.19921	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.1019	7.73461	4.84252	1.05696	0.402492	lidar	1.60084	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2222	7.94127	4.84244	1.07422	0.39924	radar	0.22523	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.3014	8.15962	4.82433	1.10477	0.409366	lidar	1.56722	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.4	8.37006	4.82615	1.12367	0.40571	radar	2.26592	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4906	8.52564	4.73884	1.13296	0.395673	lidar	3.71594	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5825	8.73337	4.71265	1.15486	0.39963	radar	0.566869	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.737	8.91603	4.70548	1.1492	0.37551	lidar	3.96362	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8128	9.13543	4.67686	1.17806	0.388668	radar	1.01364	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.9398	9.36418	4.7147	1.18779	0.37945	lidar	2.94233	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	19.9899	9.5815	4.65433	1.22401	0.402171	radar	2.79829	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.0767	9.82242	4.68819	1.24513	0.403044	lidar	0.738121	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.138	10.0695	4.72675	1.2715	0.406821	radar	7.17297	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.1878	10.3406	4.78014	1.30551	0.419429	lidar	1.02225	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.2093	10.5704	4.73184	1.34511	0.44319	radar	3.32574	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.2676	10.8454	4.79651	1.37191	0.447267	lidar	2.05249	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.2977	11.0991	4.81946	1.40145	0.453361	radar	4.97402	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.3312	11.3408	4.82364	1.42609	0.455165	lidar	0.0162744	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.2877	11.5796	4.74837	1.48769	0.505019	radar	12.1529	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.3554	11.8272	4.77593	1.49717	0.490327	lidar	4.20426	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.377	12.0622	4.79849	1.51172	0.473785	radar	3.18444	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.3646	12.3506	4.86681	1.5486	0.485443	lidar	1.37015	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.3211	12.5841	4.81135	1.5984	0.520172	radar	4.16317	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.3432	12.8286	4.82017	1.61387	0.510482	lidar	1.47833	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.3309	13.058	4.79419	1.64128	0.515586	radar	2.1761	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.2957	13.2748	4.76142	1.67081	0.519238	lidar	1.12755	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.2569	13.5076	4.75804	1.70007	0.521668	radar	1.30951	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2344	13.7696	4.79731	1.72346	0.518926	lidar	1.18941	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.1803	13.995	4.77087	1.75865	0.532395	radar	1.12763	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.124	14.253	4.80921	1.78872	0.535229	lidar	0.40627	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.0526	14.4802	4.80052	1.82176	0.54186	radar	1.5162	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9447	14.7371	4.84977	1.86417	0.555306	lidar	1.61734	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8764	14.9539	4.8333	1.8867	0.546735	radar	3.21465	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8415	15.1746	4.80737	1.8997	0.534059	lidar	1.80627	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7155	15.3843	4.76543	1.96192	0.588019	radar	9.02752	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.6831	15.5762	4.70012	1.97209	0.571292	lidar	3.02901	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.5885	15.7802	4.68349	2.00139	0.57235	radar	1.3044	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.4841	15.996	4.69198	2.0309	0.573078	lidar	0.016629	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.3806	16.2026	4.69306	2.05319	0.561499	radar	1.59393	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2701	16.382	4.65375	2.08312	0.563506	lidar	0.714859	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1523	16.578	4.64554	2.11371	0.567557	radar	0.30254	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0206	16.7896	4.67184	2.14336	0.568463	lidar	0.159889	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8664	16.9832	4.67827	2.19412	0.604573	radar	7.17978	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.6925	17.2203	4.77106	2.22872	0.607612	lidar	1.9241	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5848	17.4208	4.76274	2.22861	0.562132	radar	5.5126	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3705	17.6138	4.82384	2.27523	0.57796	lidar	4.1334	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
1477010449350000	18.2329	17.8025	4.81711	2.2865	0.550522	radar	2.56221	18.2749	17.4877	18.2814	17.8617	-3.042	3.71372
1477010449400000	18.0975	17.9877	4.80317	2.30601	0.54357	lidar	0.847344	18.2094	18.0461	18.1268	18.0453	-3.14318	3.62906
1477010449450000	17.9235	18.1445	4.78771	2.3442	0.559029	radar	1.79815	18.3021	17.498	17.9671	18.2246	-3.24204	3.5418
1477010449500000	17.7898	18.2867	4.72111	2.36723	0.555328	lidar	1.02489	17.9018	18.2183	17.8026	18.3994	-3.3385	3.45199
1477010449550000	17.6558	18.4664	4.70616	2.3777	0.535233	radar	6.78992	18.8558	18.1364	17.6334	18.5697	-3.43247	3.35973
1477010449600000	17.4589	18.6473	4.75529	2.40693	0.536944	lidar	0.5224	17.3845	18.7039	17.4595	18.7353	-3.5239	3.26509
1477010449650000	17.2795	18.7896	4.73928	2.43863	0.543347	radar	1.64891	17.7945	18.0801	17.281	18.8962	-3.61271	3.16817
1477010449700000	17.1163	18.9256	4.70185	2.46402	0.542121	lidar	0.305594	17.1762	18.8863	17.0983	19.0521	-3.69883	3.06904
1477010449750000	16.9488	19.0949	4.70944	2.47795	0.526154	radar	3.22381	16.9398	19.7311	16.9113	19.203	-3.78221	2.9678
1477010449800000	16.731	19.2107	4.71244	2.51738	0.537663	lidar	2.62625	16.5734	19.052	16.7201	19.3488	-3.86278	2.86455
1477010449850000	16.5413	19.3644	4.7297	2.53981	0.53427	radar	3.23779	16.1674	20.2201	16.5251	19.4894	-3.9405	2.75938
1477010449900000	16.3148	19.5249	4.79482	2.56625	0.533424	lidar	0.896922	16.2338	19.6171	16.3262	19.6246	-4.01531	2.65237
1477010449950000	16.0935	19.6107	4.77591	2.61088	0.553936	radar	9.9191	16.4366	18.2742	16.1237	19.7545	-4.08716	2.54364
1477010450000000	15.8871	19.7541	4.80029	2.63203	0.547956	lidar	0.795004	15.9243	19.8703	15.9176	19.8789	-4.15602	2.43329
1477010450050000	15.6983	19.876	4.76945	2.64332	0.522365	radar	3.49528	16.2328	19.2166	15.7082	19.9978	-4.22185	2.32141
1477010450100000	15.4659	20.0276	4.83445	2.66306	0.516091	lidar	1.4404	15.4332	20.1836	15.4956	20.111	-4.28461	2.2081
1477010450150000	15.2549	20.1689	4.85445	2.67562	0.499838	radar	5.95001	14.3677	21.3406	15.2799	20.2185	-4.34427	2.09347
1477010450200000	15.0646	20.2982	4.84007	2.68949	0.490238	lidar	2.0224	15.2016	20.4385	15.0613	20.3203	-4.4008	1.97763
1477010450250000	14.8355	20.3831	4.83893	2.72201	0.49887	radar	1.92375	14.7476	19.9571	14.84	20.4162	-4.4542	1.86068
1477010450300000	14.6187	20.501	4.85078	2.74	0.492679	lidar	0.735299	14.6665	20.6088	14.6161	20.5063	-4.50443	1.74272
1477010450350000	14.3827	20.5905	4.86935	2.7708	0.502354	radar	1.11951	13.841	21.0031	14.3897	20.5904	-4.55149	1.62386
1477010450400000	14.1362	20.6651	4.88574	2.80174	0.507296	lidar	0.653594	14.0521	20.5924	14.1611	20.6686	-4.59537	1.50421
1477010450450000	13.8992	20.7383	4.89537	2.83289	0.516569	radar	0.328568	13.8232	20.859	13.9304	20.7408	-4.63606	1.38386
1477010450500000	13.6255	20.8035	4.945	2.86583	0.522304	lidar	1.66304	13.4686	20.7253	13.6977	20.807	-4.67357	1.26294
1477010450550000	13.3762	20.8383	4.95707	2.91088	0.54999	radar	2.60066	13.8263	20.4261	13.4632	20.8671	-4.70789	1.14153
1477010450600000	13.1312	20.8814	4.95461	2.9418	0.553007	lidar	0.172584	13.1072	20.8294	13.2271	20.9211	-4.73904	1.01975
1477010450650000	12.8976	20.9394	4.94895	2.96497	0.549464	radar	1.74487	13.2669	21.1579	12.9895	20.969	-4.76702	0.897694
1477010450700000	12.6992	20.9837	4.88644	2.98682	0.545339	lidar	1.96063	12.8729	21.0592	12.7506	21.0108	-4.79186	0.775469
1477010450750000	12.4447	21.0248	4.91344	3.01498	0.548195	radar	2.60416	11.5171	21.6724	12.5106	21.0465	-4.81358	0.653175
1477010450800000	12.1992	21.0628	4.92086	3.03929	0.545357	lidar	0.122263	12.2062	21.11	12.2695	21.0761	-4.83219	0.530912
1477010450850000	11.9585	21.0834	4.92219	3.06952	0.55168	radar	1.06207	12.3859	21.1066	12.0276	21.0996	-4.84773	0.408778
1477010450900000	11.7168	21.0569	4.89866	3.10991	0.563339	lidar	2.03345	11.6814	20.8651	11.785	21.117	-4.86022	0.286869
1477010450950000	11.467	21.0446	4.90414	3.14514	0.571407	radar	1.18559	11.5265	20.6748	11.5418	21.1283	-4.86971	0.165281
1477010451000000	11.2531	21.0387	4.85758	3.17309	0.57159	lidar	0.727216	11.363	21.0688	11.2982	21.1335	-4.87623	0.0441057
1477010451050000	10.9955	21.0018	4.87726	3.21199	0.582404	radar	4.29613	10.5558	20.5567	11.0544	21.1327	-4.87982	-0.076565
1477010451100000	10.7871	20.9649	4.82152	3.24597	0.587685	lidar	0.722299	10.8903	20.927	10.8105	21.1259	-4.88053	-0.196643
1477010451150000	10.5402	20.9595	4.80924	3.26079	0.565621	radar	5.15381	9.30535	21.3896	10.5666	21.1131	-4.8784	-0.31604
1477010451200000	10.2622	20.9832	4.87879	3.2702	0.54746	lidar	3.19031	10.189	21.209	10.3229	21.0943	-4.87349	-0.434674
1477010451250000	10.0241	20.9636	4.87248	3.29172	0.541104	radar	1.00117	9.97958	21.2932	10.0795	21.0697	-4.86585	-0.552463
1477010451300000	9.83126	20.9238	4.80156	3.32013	0.543554	lidar	1.69748	9.99634	20.9797	9.83658	21.0391	-4.85554	-0.669327
1477010451350000	9.60292	20.9093	4.75627	3.32873	0.516639	radar	2.53844	9.38223	21.111	9.59422	21.0028	-4.84262	-0.785189
1477010451400000	9.40953	20.8566	4.697	3.35822	0.520919	lidar	0.987638	9.53921	20.8762	9.35258	20.9607	-4.82714	-0.899977
